,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,机制,适用标准（EN18031）,技术要求项目,requirement技术要求,项目需被测试的条件,评估对象,概念评估,功能完整性评估,功能充分性评估,涉及的工具,,,,,,,,,,
,当前表格中的测试方法部分依赖其他外部文档模板及表格。如接口识别及资产识别需要到《XXX设备-评估文档》中完成。,,,,,,,,,,,,,,,,,,,
,"ACM
访问控制机制",-1、-2、-3,"[ACM-1]Applicability of access control mechanisms
访问控制机制的适用性","The equipment shall use access control mechanisms to manage entities' access to security assets and network/(privacy)/(financial) assets, except for access to security assets or network/(privacy)/(financial) assets where:
1.public accessibilityis the equipment's intended functionality; or
2.physical or logical measures in the equipment's targeted operational environment limit their accessibility to authorized entities; or
3.legal implications do not allow for access control mechanisms.
设备应使用访问控制机制来管理实体对安全资产和网络资产/隐私资产/金融资产的访问，但在以下情况下对安全资产或网络资产/隐私资产/金融资产的访问除外：
—	可公开访问是设备的预期功能；或者
—	设备目标操作环境中的物理或逻辑措施限制了它们对授权实体的可及性；要么
—	法律层面不允许访问控制机制",无/设备存在资产,可被实体访问的的安全资产和网络资产/隐私资产/金融资产,"1、根据《接口与资产识别表》中的ACM归类在P-CAP中创建评估项。
2、在系统上填写。
其中：
对于一些常见分类，经验上会做以下判决。
WIFI：如果是客户端，一般不列为访问方式。但如果作为AP则需要写。
蓝牙：客户端情况同上，但如果作为服务端与外部设备配对，则需要写。
蜂窝：同上。

当有些资产在功能评估上不好测试时概念评估可以尽量将访问方式判定为豁免。
常见豁免项如：UI，物理访问方式，客户端通信",1、参照《XXX设备-评估文档》中的资产识别描述及截图。,1、参照《XXX设备-评估文档》, ,,,,,,,,,,
,,-1、-2、-3,"[ACM-2] Appropriate access control mechanisms
适当的访问控制机制","Access control mechanisms that are required per ACM-1 shall ensure that only authorized entities have access to the protected security assets and network/(privacy)/(financial) assets.
每个ACM-1所需的访问控制机制应确保只有授权实体才能访问受保护的安全资产和网络资产/隐私资产/金融资产。",设备存在访问控制机制,ACM-1要求所需的每个访问控制机制,,无,,,,,,,,,,,,
,,-2,"[ACM-3] Default access control for children in toys
玩具中对儿童的默认访问控制","Access control mechanisms that are required per ACM-1 shall ensure that only authorized entities have
access to the protected security assets and privacy assets.
若该设备为玩具，对于儿童可以访问外部内容的每项隐私功能，且儿童的访问由ACM-1要求的访问控制机制进行管理，则该访问控制机制应默认确保儿童通过该隐私功能对外部内容的访问仅限于来自授权实体的内容。",设备是玩具且存在儿童可访问外部内容的隐私功能,儿童可访问外部内容的每个隐私功能,,验证所有儿童可访问外部内容的隐私功能是否记录在[E.Info.ACM-3.PrivacyAsset]中,,,,,,,,,,,,
,,-2,"[ACM-4] Default access control to children's privacy assets for toys and childcare equipment
玩具与儿童看护设备中对儿童隐私资产的默认访问控制","If the equipment is a toy or childcare equipment, any children's privacy function and personal information access control mechanisms required per ACM-1 shall by default restrict, apart from the child's or their parental/guardians, any third-party access to the children's privacy function and personal information processed by the equipment, except for authorised accesses which are required for the equipment's intended functionality.
若设备为玩具或儿童看护设备，除儿童本人及其父母/监护人外，ACM应默认限制第三方访问儿童隐私功能与个人信息，除非该访问为预期功能所需的授权访问。",设备是玩具或儿童看护设备，且处理儿童隐私功能/个人信息,"【EN18031-2】
children's privacy function and personal information ACM
儿童隐私功能与个人信息的ACM",,"1、列出设备上所有可被儿童或其父母/监护人以外的第三方访问的儿童隐私功能及设备上的个人信息——可通过检查软件的所有部分来实现，例如：核查网络浏览器设置、检查应用商店访问权限、查看已安装的应用程序、调查内置或已安装的家长控制功能；
(通过客户端识别个人信息、bp插件HAE匹配个人信息)
2、将步骤1所列清单与[E. Info.ACM-4. PrivacyAsset]中提供的清单进行比对，并标出任何在设备上已识别/发现但未列入[E. Info.ACM-4. PrivacyAsset]的隐私功能或个人信息。",验证默认情况下，第三方（非儿童/父母）对儿童隐私资产的访问是否被限制在设备运行必要的范围内。,,,,,,,,,,,
,,-2,"[ACM-5] Parental/Guardian access controls for children in toys
玩具中家长/监护人对儿童的访问控制","If the equipment is a toy, for each security asset and privacy asset that is accessible by children, and where children's access is managed by access control mechanisms required per ACM-1, the access control mechanisms shall be configurable by an authorized entity to restrict children's access to the managed security assets and privacy assets.
若设备为玩具，对儿童可访问的每项由ACM-1管理的安全/隐私资产，ACM应支持由授权实体配置以限制儿童访问。",设备是玩具且存在儿童可访问的、由ACM-1管理的安全/隐私资产,"【EN18031-2】
each ACM managing children's access
管理儿童访问的每个ACM",,无,,,,,,,,,,,,
,,-2,"[ACM-6] Parental/Guardian access controls for other entities' access to managed children's privacy assets in toys
玩具中家长/监护人对其他实体访问儿童隐私资产的控制","If the equipment is a toy, for each children's privacy asset that is accessible by entities, other than the children or their parents or guardians, and where those other entities' access is managed by access control mechanisms required per ACM-1, the access control mechanisms shall be configurable by an authorized entity to restrict the other entities' access to the managed children's privacy assets.
若设备为玩具，对除儿童及其父母/监护人以外的其他实体可访问的儿童隐私资产（由ACM-1管理），ACM应支持由授权实体配置以限制这些其他实体的访问。",设备是玩具且存在儿童以外实体可访问的儿童隐私资产,"【EN18031-2】
each ACM managing other entities' access to children's privacy assets",,无,,,,,,,,,,,,
,"AUM
身份认证机制",-1、-2、-3,"[AUM-1]Applicability of authentication mechanisms
[AUM-1-2]Network interface
认证机制的适用性（网络接口）","【EN18031-1】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing entities access via network interfaces that allow to:
read confidential network function configuration or confidential security parameters; or
modify sensitive network function configuration or sensitive security parameters; or
-use network functions or security functions,
except for access:
to network functions or network function configuration where the absence of authenticationis required for the equipment's intended functionality; or via networks where physical or logical measures in the equipment's targeted operationalenvironment limit accessibility to authorised entities.
每个ACM-1所需的访问控制机制应使用认证机制来管理实体通过网络接口的访问，以允许：
— 读取机密网络功能配置或机密安全参数；或
—  修改敏感网络功能配置或敏感安全参数；或
—  使用网络功能或安全功能，
除了：
—  缺少对使用网络功能或读写网络功能配置的身份认证是设备预期功能所必需的；或
—  在设备预期操作环境中的物理或逻辑措施限制了授权实体的访问性的情况下，通过网络接口对资产进行的访问
【EN18031-2】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing
entities' access via network interfaces that allow to:
— read confidential personal information, confidential privacy function configuration or
confidential security parameters; or
— modify sensitive personal information, sensitive privacy function configuration or sensitive
security parameters; or
— use privacy functions or security functions,
except for access:
— to personal information, privacy functions o r privacy function configuration where the
absence of authentication is required for the intended equipment functionality; or
— via networks where physical o r logical measures in the equipment's targeted operational
environment limit accessibility to authorised entities.
根据ACM-1的要求，访问控制机制应运用认证机制来管理实体通过网络接口的访问，从而能够：
— 读取机密个人信息、机密隐私功能配置或机密安全参数；或者
— 修改敏感的个人信息、敏感的隐私功能配置或敏感的安全参数；或者
— 使用隐私功能或安全功能
除访问外：
— 对于个人信息和隐私功能或隐私功能配置，在预期的设备功能实现过程中无需进行身份验证；或者
— 通过物理或逻辑措施在设备目标运行环境中限制了授权实体访问权限的网络。
【EN18031-3】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing
entities’ access via network interfaces that allow to:
— read confidential financial data, confidential financial function configuration or confidential
security parameters; or
— modify sensitive financial data, sensitive financial function configuration or sensitive security
parameters; or
— use financial functions or security functions.
根据ACM-1的要求，访问控制机制应运用认证机制来管理实体通过网络接口的访问，从而能够：
— 读取机密的金融数据、机密的金融功能配置或机密的安全参数；或者
— 修改敏感的金融数据、敏感的金融功能配置或敏感的安全参数；或者
— 使用金融功能或安全功能。",设备通过网络接口提供对资产的访问,"允许访问资产的每个网络接口
",注：EN18031-3是没有豁免方式。,验证所有可访问安全资产/网络资产/隐私资产/金融资产的网络接口是否记录在[E.Info.AUM-1-1],,,,,,,,,,,,
,,-1,"[AUM-1]Applicability of authentication mechanisms
[AUM-1-2] user interface
认证机制的适用性(用户接口)","【EN18031-1】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managingAccessentities'access via user interfaces that allow to:
read confidential network function configuration or confidential security parameters; ormodify sensitive network function configuration or sensitive security parameters; or
use network functions or security functions
except for access:
where physical or logical measures in the equipment's targeted operational environmentlimit accessibility to authorized entities;
and except for read only access to network functions or network functions configuration where accesswithout authentication is needed:
to enable the intended equipment functionality; or
because legal implications do not allow for authentication mechanisms.
每个ACM-1所需的访问控制机制应使用认证机制来管理实体通过用户接口的访问，以允许：
—	读取机密网络功能配置或机密安全参数；或
—	修改敏感网络功能配置或敏感安全参数；或
—	使用网络功能或安全功能，
除了：
—	在设备预期操作环境中的物理或逻辑措施限制了授权实体的可访问性的情况下，通过用户接口对资产进行访问
—	在以下情况下，只读访问网络或网络功能配置可不进行身份认证：
	用于启用预期的设备功能所必需；或
	因为法律意义上不允许使用身份认证机制
【EN18031-2】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing
entities' access via user interfaces that allow to:
— read confidential personal information, confidential privacy function configuration or
confidential security parameters; or
— modify sensitive personal information, sensitive privacy function configuration or sensitive
security parameters; or
— use privacy functions or security functions,
except for access:
— where physical or logical measures in the equipment's targeted operational environment
limit accessibility to authorized entities;
and except for read only access to personal information, privacy functions or privacy function
configuration where access without authentication is needed:
— to enable the intended equipment functionality or
— because legal implications do not allow for authentication mechanisms
【EN18031-3】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing
entities' access via user interfaces that allow to:
- read confidential financial information, confidential financial
function configuration or confidential security parameters; or
- modify sensitive financial information, sensitive financial
function configuration or sensitive security parameters; or
- use financial functions or security functions
每个ACM-1所需的访问控制机制应使用认证机制来管理实体通过用户接口的访问，以允许：
- 读取机密的财务信息、机密的财务功能配置或机密的安全参数；或
- 修改敏感的财务信息、敏感的财务功能配置或敏感的安全参数；或
- 使用财务功能或安全功能。",设备存在ACM机制；且存在通过用户接口访问资产的ACM机制,ACM-1要求所需的那些通过用户接口进行资产访问的每个访问控制机制,注：EN18031-3是没有豁免方式。,以确定设备上是否存在通过用户接口访问资产的访问控制机制未在[E.Info.AUM-1-1. ACM]中描述,,,,,,,,,,,,
,,-3,"[AUM-1-3] Applicability of authentication mechanisms for machine interfaces
身份认证机制适用性(机器接口)","【EN18031-3】
Access control mechanisms required per ACM-1 shall use authentication mechanisms for managing
entities' access via machine interfaces that allow to:
- read confidential financial information, confidential financial function configuration or confidential security parameters; or
- modify sensitive financial information, sensitive financial function configuration or sensitive security parameters; or
- use financial functions or security functions
每个ACM-1所需的访问控制机制应使用认证机制来管理实体通过用户接口的访问，以允许：
- 读取机密的财务信息、机密的财务功能配置或机密的安全参数；  
- 修改敏感的财务信息、敏感的财务功能配置或敏感的安全参数；  
- 使用财务功能或安全功能。",设备存在提供访问安全资产/金融资产的机器接口,提供访问安全资产/金融资产的每个机器接口,注：EN18031-3是没有豁免方式。,验证所有此类机器接口是否记录在[E.Info.AUM-1-3]中,,,,,,,,,,,,
